season_label,team,gk_save_pct,gk_cs_pct,gk_ga90,top3_ga_per90,squad_age,squad_depth,team_tkl_per90,team_int_per90,team_discipline_per90,avg_on_off
2021-2022,Liverpool,75.8,55.6,0.67,1.13,27.234430675955963,15.0,0.7826711345141216,0.823360459550024,0.12685495452369555,-0.11666666666666665
2021-2022,Manchester City,70.6,54.1,0.7,0.88,26.596875499015276,18.0,0.7043603258265453,0.6492573071394346,0.10781025395304265,-0.17125
2021-2022,Manchester Utd,69.1,21.1,1.5,1.27,26.72840524928794,18.0,0.8483105679367361,0.7979870596693026,0.19889767553318954,-0.06235294117647059
2021-2022,Newcastle United,68.2,30.8,1.35,0.67,26.91966426858513,21.0,0.9276126558005752,0.8796740172579098,0.20853307766059442,-0.015238095238095252
2021-2022,Norwich City,65.4,17.2,2.14,0.48000000000000004,25.715779113688356,16.0,0.8979885057471264,0.878831417624521,0.14367816091954022,0.27142857142857146
2021-2022,Southampton,67.3,15.8,1.84,0.54,25.16983543697076,17.0,0.8363287802540139,1.0639827462257367,0.17014138509465612,0.16625
2021-2022,Tottenham Hotspur,71.9,42.1,1.05,0.83,26.084869768803042,16.0,0.8409199808337326,0.8217537134643029,0.17249640632486823,0.5857142857142856
2021-2022,Watford,59.6,15.4,1.88,0.68,27.823696884229573,19.0,0.8642566435240604,1.0845104141728514,0.17237251615992338,0.02222222222222223
2021-2022,West Ham United,69.2,21.6,1.35,0.98,27.631843575418994,15.0,0.706756109247724,0.8576904647819837,0.14614278869190225,0.17846153846153845
2021-2022,Wolves,79.6,29.7,1.1,0.27,26.866901108269396,16.0,0.9156279961649089,0.8652924256951101,0.1629913710450623,0.09000000000000002
2022-2023,Arsenal,70.1,36.8,1.13,1.42,24.159197235513027,13.0,0.8209669698420297,0.5313547151747248,0.12206797510770703,0.2818181818181818
2022-2023,Aston Villa,73.8,30.6,1.09,0.69,26.487031470298742,14.0,0.8165708812260535,0.7590996168582375,0.1987547892720306,0.34428571428571425
2022-2023,Bournemouth,74.1,22.2,1.47,0.58,25.808665603402446,18.0,0.9090909090909091,0.8229665071770335,0.16267942583732056,0.1844444444444445
2022-2023,Brentford,77.8,31.6,1.21,0.9299999999999999,25.662564129828013,15.0,0.7896625987078247,0.7848767647762622,0.14357501794687724,-0.008461538461538453
2022-2023,Brighton,64.8,26.1,1.3,0.56,25.792052099946837,15.0,0.8056418838154434,0.6669854171647143,0.13865646665072914,0.005000000000000012
2022-2023,Chelsea,74.0,31.0,1.16,0.79,25.7892688647813,19.0,1.064748201438849,0.7769784172661871,0.2158273381294964,0.08176470588235293
